"","Date","Text","bing_score","nrc_score","afin_score"
"6","2017-01-20","thank you for a wonderful evening in washington d c inauguration  t co a xpfqthj ",1,1,1
"13","2017-01-21","thank you for another wonderful evening in washington d c together we will make america great again  t co v aoj ruh ",1,1,1
"14","2017-01-21","a fantastic day and evening in washington d c thank you to foxnews and so many other news outlets for the great reviews of the speech ",1,1,1
"16","2017-01-22","wow television ratings just out million people watched the inauguration million more than the very good ratings from years ago ",1,1,1
"17","2017-01-22","watched protests yesterday but was under the impression that we just had an election why didn t these people vote celebs hurt cause badly ",-1,-1,-1
"18","2017-01-22","peaceful protests are a hallmark of our democracy even if i don t always agree i recognize the rights of people to express their views ",1,1,1
"19","2017-01-22","had a great meeting at cia headquarters yesterday packed house paid great respect to wall long standing ovations amazing people win ",1,1,1
"20","2017-01-23","busy week planned with a heavy focus on jobs and national security top executives coming in at a m to talk manufacturing in america ",1,1,1
"25","2017-01-24","will be meeting at with top automobile executives concerning jobs in america i want new plants to be built here for cars sold here ",1,1,1
"29","2017-01-25","if chicago doesn t fix the horrible carnage going on shootings in with killings up from i will send in the feds ",-1,-1,-1
"30","2017-01-25","i will be making my supreme court pick on thursday of next week thank you ",1,1,1
"33","2017-01-25","even those registered to vote who are dead and many for a long time depending on results we will strengthen up voting procedures ",-1,1,-1
"34","2017-01-26","of jobs and companies lost if mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting ",-1,-1,-1
"35","2017-01-26","spoke at the congressional gop retreat in philadelphia pa this afternoon w vp senatemajldr speakerryan th  t co alsadgrwoe",-1,-1,-1
"37","2017-01-26","ungrateful traitor chelsea manning who should never have been released from prison is now calling president obama a weak leader terrible ",-1,-1,-1
"38","2017-01-26","spoke at the congressional gop retreat in philadelphia pa this afternoon w vp senmajleader speakerryan th  t co s stbsybsr",-1,-1,-1
"40","2017-01-26","miami dade mayor drops sanctuary policy right decision strong  t co mtpvadc jm",1,1,1
"42","2017-01-26","will be interviewed by seanhannity on foxnews at pm tonight enjoy ",1,1,1
"43","2017-01-26","interview with david muir of abc news in minutes enjoy ",1,1,1
"46","2017-01-27","i promise that our administration will always have your back we will always be with you  t co d aowhoh x",1,1,1
"47","2017-01-27"," vp mike pence will be speaking at today s marchforlife you have our full support  t co jb segv ",1,1,1
"48","2017-01-27","the marchforlife is so important to all of you marching you have my full support ",1,1,1
"51","2017-01-28","i will be interviewed by thebrodyfile on cbnnews tonight at pm enjoy ",1,1,1
"53","2017-01-28"," dwindling subscribers and readers they got me wrong right from the beginning and still have not changed course and never will dishonest",-1,-1,-1
"54","2017-01-28","thr coverage about me in the nytimes and the washingtonpost gas been so false and angry that the times actually apologized to its ",-1,-1,-1
"55","2017-01-28","the failing nytimes has been wrong about me from the very beginning said i would lose the primaries then the general election fake news ",-1,-1,-1
"57","2017-01-29"," senators should focus their energies on isis illegal immigration and border security instead of always looking to start world war iii ",-1,-1,-1
"58","2017-01-29","the joint statement of former presidential candidates john mccain amp lindsey graham is wrong they are sadly weak on immigration the two ",-1,-1,-1
"60","2017-01-29","our country needs strong borders and extreme vetting now look what is happening all over europe and indeed the world a horrible mess ",-1,-1,-1
"62","2017-01-29","i will be interviewed by thebrodyfile on cbnnews tonight at pm enjoy ",1,1,1
"63","2017-01-30","where was all the outrage from democrats and the opposition party the media when our jobs were fleeing our country ",-1,-1,-1
"65","2017-01-30","if the ban were announced with a one week notice the bad would rush into our country during that week a lot of bad dudes out there ",-1,-1,-1
"66","2017-01-30","i have made my decision on who i will nominate for the united states supreme court it will be announced live on tuesday at p m w h ",1,1,1
"68","2017-01-30","there is nothing nice about searching for terrorists before they can enter our country this was a big part of my campaign study the world ",1,1,1
"70","2017-01-30","protesters and the tears of senator schumer secretary kelly said that all is going well with very few problems make america safe again ",1,1,-1
"71","2017-01-31","when will the democrats give us our attorney general and rest of cabinet they should be ashamed of themselves no wonder d c doesn t work ",-1,1,-1
"72","2017-01-31","getting ready to deliver a very important decision p m ",1,1,1
"73","2017-01-31","nancy pelosi and fake tears chuck schumer held a rally at the steps of the supreme court and mic did not work a mess just like dem party ",-1,-1,-1
"74","2017-02-01","hope you like my nomination of judge neil gorsuch for the united states supreme court he is a good and brilliant man respected by all ",1,1,1
"75","2017-02-01","everybody is arguing whether or not it is a ban call it what you want it is about keeping bad people with bad intentions out of country ",-1,-1,-1
"80","2017-02-02","thank you samsung we would love to have you  t co r nxc ooa ",1,1,1
"81","2017-02-02","do you believe it the obama administration agreed to take thousands of illegal immigrants from australia why i will study this dumb deal ",-1,1,-1
"82","2017-02-02","if u c berkeley does not allow free speech and practices violence on innocent people with a different point of view no federal funds ",1,1,-1
"83","2017-02-02","attending chief ryan owens dignified transfer yesterday with my daughter ivanka was my great honor to a great and brave man thank you ",1,1,1
"84","2017-02-02","congratulations to rex tillerson on being sworn in as our new secretary of state he will be a star ",1,1,1
"85","2017-02-03","we must keep evil out of our country ",-1,-1,-1
"87","2017-02-03","yes arnold schwarzenegger did a really bad job as governor of california and even worse on the apprentice but at least he tried hard ",-1,-1,-1
"91","2017-02-03","professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to make america great again ",1,1,1
"92","2017-02-04","because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country a terrible decision",-1,-1,-1
"93","2017-02-04","what is our country coming to when a judge can halt a homeland security travel ban and anyone even with bad intentions can come into u s ",-1,-1,-1
"95","2017-02-04","after being forced to apologize for its bad and inaccurate coverage of me after winning the election the fake news nytimes is still lost ",-1,-1,-1
"96","2017-02-04","the opinion of this so called judge which essentially takes law enforcement away from our country is ridiculous and will be overturned ",-1,-1,-1
"97","2017-02-04","interesting that certain middle eastern countries agree with the ban they know if certain people are allowed in it s death amp destruction ",-1,-1,-1
"100","2017-02-04","interview with oreillyfactor on fox network p m prior to super bowl enjoy ",1,1,1
"101","2017-02-04","why aren t the lawyers looking at and using the federal court decision in boston which is at conflict with ridiculous lift ban decision ",-1,-1,-1
"103","2017-02-05","just cannot believe a judge would put our country in such peril if something happens blame him and court system people pouring in bad ",-1,-1,-1
"104","2017-02-05","enjoy the superbowl and then we continue make america great again ",1,1,1
"105","2017-02-05","i will be interviewed by oreillyfactor at p m prior to the superbowl pre game show on fox network enjoy ",1,1,1
"106","2017-02-05","i have instructed homeland security to check people coming into our country very carefully the courts are making the job very difficult ",-1,1,1
"107","2017-02-06","the failing nytimes writes total fiction concerning me they have gotten it wrong for two years and now are making up stories amp sources ",-1,-1,-1
"108","2017-02-06","i call my own shots largely based on an accumulation of data and everyone knows it some fake news media in order to marginalize lies ",-1,-1,-1
"111","2017-02-06","any negative polls are fake news just like the cnn abc nbc polls in the election sorry people want border security and extreme vetting ",-1,-1,-1
"113","2017-02-07","i don t know putin have no deals in russia and the haters are going crazy yet obama can make a deal with iran in terror no problem ",-1,-1,-1
"114","2017-02-07","i don t know putin have no deals in russia and the haters are going crazy yet obama can make a deal with iran in terror no problem ",-1,-1,-1
"115","2017-02-07","the threat from radical islamic terrorism is very real just look at what is happening in europe and the middle east courts must act fast ",-1,-1,-1
"116","2017-02-07","an honor having the national sheriffs assoc join me at the whitehouse incredible men amp women who protect amp serv  t co lkhbcnh l",1,1,1
"117","2017-02-07","the failing nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win now they are worse ",-1,-1,-1
"120","2017-02-08","i will be speaking at a m today to police chiefs and sheriffs and will be discussing the horrible dangerous and wrong decision ",-1,-1,-1
"123","2017-02-08"," immigration ban is one of trump s most popular orders so far  t co waelwuq be",1,-1,1
"125","2017-02-08","if the u s does not win this case as it so obviously should we can never have the security and safety to which we are entitled politics ",1,-1,1
"127","2017-02-08","it is a disgrace that my full cabinet is still not in place the longest such delay in the history of our country obstruction by democrats ",-1,-1,-1
"128","2017-02-08","thank you brian krzanich ceo of intel a great investment billion in american innovation and jobs  t co oicfdspkhq",1,1,1
"132","2017-02-09","sen mccain should not be talking about the success or failure of a mission to the media only emboldens the enemy he s been losing so ",-1,-1,-1
"134","2017-02-09","congratulations to our new attorney general senatorsessions  t co e bup k z",1,1,1
"135","2017-02-09","chris cuomo in his interview with sen blumenthal never asked him about his long term lie about his brave service in vietnam fake news ",-1,-1,-1
"137","2017-02-10","the failing nytimes does major fake news china story saying mr xi has not spoken to mr trump since nov we spoke at length yesterday ",-1,-1,-1
"139","2017-02-10","lawfare remarkably in the entire opinion the panel did not bother even to cite this the statute a disgraceful decision ",-1,-1,-1
"142","2017-02-11","our legal system is broken of refugees allowed into u s since travel reprieve hail from seven suspect countries wt so dangerous ",-1,-1,1
"145","2017-02-11","playef golf today with prime minister abe of japan and thebig easy ernie els and had a great time japan is very well represented ",1,1,1
"146","2017-02-11","played golf today with prime minister abe of japan and thebig easy ernie els and had a great time japan is very well represented ",1,1,1
"148","2017-02-11","a working dinner tonight with prime minister abe of japan and his representatives at the winter white house mar a lago very good talks ",-1,1,1
"150","2017-02-12","congratulations stephen miller on representing me this morning on the various sunday morning shows great job ",1,1,1
"151","2017-02-12","i know mark cuban well he backed me big time but i wasn t interested in taking all of his calls he s not smart enough to run for president ",1,1,1
"154","2017-02-12","while on fake news cnn bernie sanders was cut off for using the term fake news to describe the network they said technical difficulties ",-1,-1,-1
"156","2017-02-12"," of refugees admitted into u s during court breakdown are from countries syria iraq somalia iran sudan libya amp yemen",-1,-1,-1
"160","2017-02-13","wonderful meeting with canadian pm justintrudeau and a group of leading ceo s amp business women from canada and th  t co waocoayez ",1,1,1
"161","2017-02-14","congratulations to our new vasecretary dr david shulkin time to take care of veterans who have fought to protect  t co fnewjbhuw ",1,1,1
"164","2017-02-14","the real story here is why are there so many illegal leaks coming out of washington will these leaks be happening as i deal on n korea etc ",-1,1,-1
"168","2017-02-15","the real scandal here is that classified information is illegally given out by intelligence like candy very un american ",-1,1,-1
"169","2017-02-15","venezuela should allow leopoldo lopez a political prisoner amp husband of liliantintori just met w marcorubio o  t co hhge dtsn",-1,-1,-1
"171","2017-02-15","the fake news media is going crazy with their conspiracy theories and blind hatred msnbc amp cnn are unwatchable foxandfriends is great ",-1,-1,-1
"176","2017-02-15","aetna ceo obamacare in death spiral repealandreplace  t co dmhl xieqv",-1,-1,-1
"179","2017-02-16","the democrats had to come up with a story as to why they lost the election and so badly so they made up a story russia fake news ",-1,-1,-1
"180","2017-02-16","leaking and even illegal classified leaking has been a big problem in washington for years failing nytimes and others must apologize ",-1,-1,-1
"183","2017-02-16","stock market hits new high with longest winning streak in decades great level of confidence and optimism even before tax plan rollout ",1,1,1
"185","2017-02-17","the fake news media failing nytimes nbcnews abc cbs cnn is not my enemy it is the enemy of the american people ",-1,-1,-1
"187","2017-02-17","the fake news media failing nytimes cnn nbcnews and many more is not my enemy it is the enemy of the american people sick ",-1,-1,-1
"189","2017-02-17"," one of the most effective press conferences i ve ever seen says rush limbaugh many agree yet fake media calls it differently dishonest",-1,-1,-1
"193","2017-02-18","don t believe the main stream fake news media the white house is running very well i inherited a mess and am in the process of fixing it ",-1,1,-1
"194","2017-02-18","getting ready to leave for melbourne florida see you all soon ",1,-1,-1
"197","2017-02-20","happy presidents day make america great again ",1,1,1
"201","2017-02-20","congratulations to our new national security advisor general h r mcmaster video  t co bkn r kk  t co vbxcj b pv",1,1,1
"203","2017-02-21","the so called angry crowds in home districts of some republicans are actually in numerous cases planned out by liberal activists sad ",-1,-1,-1
"204","2017-02-22","very much enjoyed my tour of the smithsonian s national museum of african american history and culture a great job done by amazing people ",1,1,1
"207","2017-02-23","seven people shot and killed yesterday in chicago what is going on there totally out of control chicago needs help ",-1,-1,-1
"209","2017-02-24","the fbi is totally unable to stop the national security leakers that have permeated our government for a long time they can t even ",-1,-1,-1
"217","2017-02-25","congratulations to thomas perez who has just been named chairman of the dnc i could not be happier for him or for the republican party ",1,1,1
"219","2017-02-25","fake news media knowingly doesn t tell the truth a great danger to our country the failing nytimes has become a joke likewise cnn sad ",-1,-1,-1
"220","2017-02-26","russia talk is fake news put out by the dems and played up by the media in order to mask the big election defeat and the illegal leaks ",-1,-1,-1
"224","2017-02-27","great meeting with ceos of leading u s health insurance companies who provide great healthcare to the american peo  t co jigi ffs",1,1,1
"226","2017-02-28","i will be interviewed on foxandfriends at a m enjoy ",1,1,1
"230","2017-03-02","since november th election day the stock market has posted trillion in gains and consumer confidence is at a year high jobs ",1,1,1
"231","2017-03-03","we must fix our education system for our kids to make america great again wonderful day at saint andrew in orlando  t co otjahcvlzf",1,1,1
"232","2017-03-03","i hearby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it  t co qcdljff wn",-1,-1,-1
"235","2017-03-03"," intentional this whole narrative is a way of saving face for democrats losing an election that everyone thought they were supposed ",-1,-1,-1
"238","2017-03-03","i hereby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it  t co qcdljff wn",-1,-1,-1
"240","2017-03-03"," is all of the illegal leaks of classified and other information it is a total witch hunt ",-1,-1,-1
"241","2017-03-03","i hear by demand a second investigation after schumer of pelosi for her close ties to russia and lying about it  t co qcdljff wn",-1,-1,-1
"244","2017-03-04","arnold schwarzenegger isn t voluntarily leaving the apprentice he was fired by his bad pathetic ratings not by me sad end to great show",-1,-1,-1
"245","2017-03-04","how low has president obama gone to tapp my phones during the very sacred election process this is nixon watergate bad or sick guy ",-1,-1,-1
"249","2017-03-04","terrible just found out that obama had my wires tapped in trump tower just before the victory nothing found this is mccarthyism ",1,1,-1
"256","2017-03-06","there is an incredible spirit of optimism sweeping the country right now we re bringing back the jobs  t co bnslvkievj",1,1,1
